ID,MATCH_ID,EVENT_ID,TYPE_ID,PERIOD_ID,TIME_MIN,TIME_SEC,TEAM_ID,X,Y,PLAYER_ID,PLAYER_NAME,PENALTY,HEAD,RIGHT_FOOTED,OTHER_BODY_PART,REGULAR_PLAY,FAST_BREAK,SET_PIECE,FROM_CORNER,FREE_KICK,OWN_GOAL,ASSISTED,LEFT_FOOTED,TARGETED_LOW_LEFT,TARGETED_HIGH_LEFT,TARGETED_LOW_CENTER,TARGETED_HIGH_CENTER,TARGETED_LOW_RIGHT,TARGETED_HIGH_RIGHT,BLOCKED,TARGETED_CLOSE_LEFT,TARGETED_CLOSE_RIGHT,TARGETED_CLOSE_HIGH,TARGETED_CLOSE_LEFT_AND_HIGH,TARGETED_CLOSE_RIGHT_AND_HIGH,PROJECTED_GOAL_MOUTH_Y,PROJECTED_GOAL_MOUTH_Z,DEFLECTION,HIT_WOODWORK,BIG_CHANCE,INDIVIDUAL_CHANCE,HIT_RIGHT_POST,HIT_LEFT_POST,HIT_BAR,OUT_ON_SIDELINE,KICKOFF,FIRST_TOUCH,NOT_ASSISTED,EVENT_TYPE_NAME,TEAM_NAME,IS_GOAL,GOAL_CNT,RESULT,TEAM_SIDE,X_REL_PC,Y_REL_PC,X_REL_M,Y_REL_M,X_REL_M_TEAM,Y_REL_M_TEAM,DISTANCE,DISTANCE_BUCKET,EVENT_COUNT,FOOTBALL_PITCH_CELL,MATCH_DATE
1859725866,9ngzh927mqj3f862puyvek296,702,13,2,75,10,,91.2,53.4,,anonymized,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,36.0,6.9,N,N,N,N,N,N,N,N,N,Y,N,Shot,anonymized,N,0,Miss,home,8.8,3.4,9.152,2.312,9.152,-2.312,9.439515241790755,10,1,X8|Y2,23-DEC-17
1850402187,9ngzh927mqj3f862puyvek296,770,15,2,83,8,,72.9,45.8,,anonymized,N,N,Y,N,Y,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,47.6,13.9,N,N,N,Y,N,N,N,N,N,N,N,Shot,anonymized,N,0,Attempt Saved,home,27.1,-4.2,28.184,-2.856,28.184,2.856,28.32833549646008,29,1,X28|Y-4,23-DEC-17
1671523482,9nackj83rkn473hlqvs5e2wdm,71,13,1,9,12,,87.0,45.0,,anonymized,N,N,Y,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,42.7,6.9,N,N,N,N,N,N,N,N,N,Y,N,Shot,anonymized,N,0,Miss,away,13.0,-5.0,13.52,-3.4,90.48,-3.4,13.940961229413128,14,1,X12|Y-4,23-DEC-17
1769862972,9nackj83rkn473hlqvs5e2wdm,178,15,1,14,44,,73.4,36.1,,anonymized,N,N,Y,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Shot,anonymized,N,0,Attempt Saved,home,26.6,-13.9,27.664,-9.452,27.664,9.452,29.23417862707964,30,1,X26|Y-10,23-DEC-17
1321518723,9nackj83rkn473hlqvs5e2wdm,258,13,1,19,40,,90.9,34.8,,anonymized,N,N,Y,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,48.7,76.4,N,N,N,N,N,N,N,N,N,N,N,Shot,anonymized,N,0,Miss,home,9.1,-15.2,9.464,-10.336,9.464,10.336,14.014285283238673,15,1,X8|Y-12,23-DEC-17
1396877373,9nackj83rkn473hlqvs5e2wdm,319,15,1,24,58,,70.1,57.7,,anonymized,N,N,Y,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,52.0,27.8,N,N,N,Y,N,N,N,N,N,Y,N,Shot,anonymized,N,0,Attempt Saved,home,29.9,7.7,31.096,5.236,31.096,-5.236,31.53374243568308,32,1,X30|Y4,23-DEC-17
2099373215,9nackj83rkn473hlqvs5e2wdm,332,16,1,26,1,,91.5,43.9,,anonymized,N,Y,N,N,Y,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,53.5,4.4,N,N,Y,N,N,N,N,N,N,Y,N,Shot,anonymized,Y,1,Goal,home,8.5,-6.1,8.84,-4.148,8.84,4.148,9.764809470747496,10,1,X8|Y-6,23-DEC-17
1553851781,9nackj83rkn473hlqvs5e2wdm,397,13,1,31,56,,76.4,33.2,,anonymized,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,50.8,80.6,N,N,N,Y,N,N,N,N,N,Y,N,Shot,anonymized,N,0,Miss,home,23.6,-16.8,24.544,-11.424,24.544,11.424,27.07241607245279,28,1,X24|Y-12,23-DEC-17
1333523460,9nackj83rkn473hlqvs5e2wdm,273,15,1,42,8,,85.9,67.6,,anonymized,N,N,Y,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Shot,anonymized,N,0,Attempt Saved,away,14.1,17.6,14.664,11.968,89.336,11.968,18.927913778332783,19,1,X14|Y10,23-DEC-17
1624972059,9zmr9brpivd0tcrrc1cpbhr3e,338,15,1,28,18,,90.7,49.9,,anonymized,N,Y,N,N,Y,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,50.3,7.0,N,N,N,N,N,N,N,N,N,Y,N,Shot,anonymized,N,0,Attempt Saved,home,9.3,-0.1,9.672,-0.068,9.672,0.068,9.672239037575528,10,1,X8|Y-2,11-FEB-18
